scheduling_algorithm,process_no,ni,batch_size,time_quantum,start_time,num_wait_iters,total_waiting_time,turn_around_time
fcfs,2,250000,100,2147483647,1636800684.169484309,2500,00.010394,00.029753
fcfs,0,10000,100,2147483647,1636800684.205523591,100,00.000004,00.000159
fcfs,1,50000,100,2147483647,1636800684.205538786,500,00.002074,00.009629
fcfs,2,500000,100,2147483647,1636800684.205577025,5000,00.010498,00.049801
fcfs,0,10000,100,2147483647,1636800684.260030819,100,00.000006,00.000161
fcfs,1,50000,100,2147483647,1636800684.260032964,500,00.002131,00.009507
fcfs,2,750000,100,2147483647,1636800684.260081406,7500,00.012581,00.070467
fcfs,0,10000,100,2147483647,1636800684.335285980,100,00.000004,00.000160
fcfs,1,50000,100,2147483647,1636800684.335304509,500,00.002075,00.009477
fcfs,2,1000000,100,2147483647,1636800684.335343259,10000,00.010575,00.088652
fcfs,0,10000,100,2147483647,1636800684.429609038,100,00.000002,00.000156
fcfs,1,75000,100,2147483647,1636800684.429635794,750,00.002046,00.013190
fcfs,2,10000,100,2147483647,1636800684.429641975,100,00.014583,00.015405
fcfs,0,10000,100,2147483647,1636800684.450885130,100,00.000014,00.000168
fcfs,1,75000,100,2147483647,1636800684.450890370,750,00.002113,00.013343
fcfs,2,25000,100,2147483647,1636800684.450971044,250,00.014507,00.016673
fcfs,0,10000,100,2147483647,1636800684.473992985,100,00.000004,00.000164
fcfs,1,75000,100,2147483647,1636800684.474012391,750,00.002097,00.013200
fcfs,2,50000,100,2147483647,1636800684.474041600,500,00.014581,00.018471
fcfs,0,10000,100,2147483647,1636800684.497084171,100,00.000002,00.000157
fcfs,1,75000,100,2147483647,1636800684.497097963,750,00.002151,00.013156
fcfs,2,75000,100,2147483647,1636800684.497131829,750,00.014613,00.020494
fcfs,0,10000,100,2147483647,1636800684.522195187,100,00.000008,00.000162
fcfs,1,75000,100,2147483647,1636800684.522198897,750,00.002143,00.013224
fcfs,2,100000,100,2147483647,1636800684.522248578,1000,00.014500,00.022255
fcfs,0,10000,100,2147483647,1636800684.549356877,100,00.000005,00.000164
fcfs,1,75000,100,2147483647,1636800684.549373314,750,00.002069,00.013092
fcfs,2,250000,100,2147483647,1636800684.549404130,2500,00.014574,00.034155
fcfs,0,10000,100,2147483647,1636800684.589610983,100,00.000002,00.000157
fcfs,1,75000,100,2147483647,1636800684.589646751,750,00.002043,00.013469
fcfs,2,500000,100,2147483647,1636800684.589648321,5000,00.014677,00.053882
fcfs,0,10000,100,2147483647,1636800684.648713339,100,00.000003,00.000188
fcfs,1,75000,100,2147483647,1636800684.648738233,750,00.002015,00.013038
fcfs,2,750000,100,2147483647,1636800684.648834361,7500,00.014545,00.073220
fcfs,0,10000,100,2147483647,1636800684.726470693,100,00.000002,00.000156
fcfs,1,75000,100,2147483647,1636800684.726455513,750,00.002081,00.013118
fcfs,2,1000000,100,2147483647,1636800684.726510418,10000,00.014751,00.093048
fcfs,0,10000,100,2147483647,1636800684.825123035,100,00.000002,00.000157
fcfs,1,100000,100,2147483647,1636800684.825139230,1000,00.002113,00.017020
fcfs,2,10000,100,2147483647,1636800684.825156893,100,00.018714,00.019605
fcfs,0,10000,100,2147483647,1636800684.850646338,100,00.000006,00.000160
fcfs,1,100000,100,2147483647,1636800684.850664579,1000,00.004102,00.019225
fcfs,2,25000,100,2147483647,1636800684.850699796,250,00.022797,00.024768
fcfs,0,10000,100,2147483647,1636800684.879790781,100,00.000010,00.000164
fcfs,1,100000,100,2147483647,1636800684.879790143,1000,00.002129,00.016841
fcfs,2,50000,100,2147483647,1636800684.879873120,500,00.018591,00.022494
fcfs,0,10000,100,2147483647,1636800684.906755240,100,00.000006,00.000161
fcfs,1,100000,100,2147483647,1636800684.906775582,1000,00.002128,00.016794
fcfs,2,75000,100,2147483647,1636800684.906808716,750,00.018643,00.024448
fcfs,0,10000,100,2147483647,1636800684.935949385,100,00.000006,00.000161
fcfs,1,100000,100,2147483647,1636800684.935958951,1000,00.002058,00.016800
fcfs,2,100000,100,2147483647,1636800684.935997058,1000,00.018620,00.026347
fcfs,0,10000,100,2147483647,1636800684.968178755,100,00.000003,00.000185
fcfs,1,100000,100,2147483647,1636800684.968171231,1000,00.002114,00.017060
fcfs,2,250000,100,2147483647,1636800684.968216611,2500,00.018805,00.038305
fcfs,0,10000,100,2147483647,1636800685.012382429,100,00.000002,00.000156
fcfs,1,100000,100,2147483647,1636800685.012401157,1000,00.002031,00.016914
fcfs,2,500000,100,2147483647,1636800685.012418572,5000,00.018770,00.057835
fcfs,0,10000,100,2147483647,1636800685.075295246,100,00.000002,00.000156
fcfs,1,100000,100,2147483647,1636800685.075331884,1000,00.002069,00.016787
fcfs,2,750000,100,2147483647,1636800685.075345989,7500,00.018840,00.077504
fcfs,0,10000,100,2147483647,1636800685.159673659,100,00.000002,00.000156
fcfs,1,100000,100,2147483647,1636800685.159662430,1000,00.002075,00.017058
fcfs,2,1000000,100,2147483647,1636800685.159715090,10000,00.018919,00.097228
fcfs,0,10000,100,2147483647,1636800685.262074514,100,00.000002,00.000156
fcfs,1,250000,100,2147483647,1636800685.262091250,2500,00.002097,00.039328
fcfs,2,10000,100,2147483647,1636800685.262112431,100,00.041098,00.041896
